date,close
08/12/2010,176.29
09/12/2010,174.85
10/12/2010,175.62
13/12/2010,174.25
14/12/2010,173.94
15/12/2010,175.57
16/12/2010,178.04
17/12/2010,177.58
20/12/2010,183.29
21/12/2010,184.75
22/12/2010,184.76
23/12/2010,182.59
27/12/2010,182.14
28/12/2010,181.09
29/12/2010,183.37
30/12/2010,182.75
31/12/2010,180.0
03/01/2011,184.22
04/01/2011,185.01
05/01/2011,187.42
06/01/2011,185.86
07/01/2011,185.49
10/01/2011,184.68
11/01/2011,184.34
12/01/2011,184.08
13/01/2011,185.53
14/01/2011,188.75
18/01/2011,191.25
19/01/2011,186.87
20/01/2011,181.96
21/01/2011,177.42
24/01/2011,176.85
25/01/2011,176.7
26/01/2011,175.39
27/01/2011,184.45
28/01/2011,171.14
31/01/2011,169.64
01/02/2011,172.11
02/02/2011,173.53
03/02/2011,173.71
04/02/2011,175.93
07/02/2011,176.43
08/02/2011,183.06
09/02/2011,185.3
10/02/2011,186.21
11/02/2011,189.25
14/02/2011,190.42
15/02/2011,189.03
16/02/2011,186.62
17/02/2011,187.76
18/02/2011,186.5
22/02/2011,180.42
23/02/2011,176.68
24/02/2011,177.75
25/02/2011,177.24
28/02/2011,173.29
01/03/2011,169.44
02/03/2011,172.02
03/03/2011,172.79
04/03/2011,171.67
07/03/2011,169.08
08/03/2011,166.89
09/03/2011,169.05
10/03/2011,166.14
11/03/2011,168.07
14/03/2011,166.73
15/03/2011,165.08
16/03/2011,164.7
17/03/2011,160.97
18/03/2011,161.82
21/03/2011,164.52
22/03/2011,162.6
23/03/2011,165.32
24/03/2011,171.1
25/03/2011,170.98
28/03/2011,169.35
29/03/2011,174.62
30/03/2011,179.42
31/03/2011,180.13
01/04/2011,180.13
04/04/2011,182.94
05/04/2011,185.29
06/04/2011,182.76
07/04/2011,184.91
08/04/2011,184.71
11/04/2011,184.04
12/04/2011,180.48
13/04/2011,182.29
14/04/2011,181.82
15/04/2011,180.01
18/04/2011,178.34
19/04/2011,178.82
20/04/2011,183.87
21/04/2011,185.89
25/04/2011,185.42
26/04/2011,182.3
27/04/2011,196.63
28/04/2011,195.07
29/04/2011,195.81
02/05/2011,201.19
03/05/2011,198.45
04/05/2011,199.97
05/05/2011,197.11
06/05/2011,197.6
09/05/2011,200.8
10/05/2011,203.94
11/05/2011,204.38
12/05/2011,206.07
13/05/2011,202.56
16/05/2011,192.51
17/05/2011,194.81
18/05/2011,197.09
19/05/2011,198.8
20/05/2011,198.65
23/05/2011,196.22
24/05/2011,193.27
25/05/2011,192.26
26/05/2011,195.0
27/05/2011,194.13
31/05/2011,196.69
01/06/2011,192.4
02/06/2011,193.65
03/06/2011,188.32
06/06/2011,185.69
07/06/2011,187.55
08/06/2011,188.05
09/06/2011,189.68
10/06/2011,186.53
13/06/2011,186.29
14/06/2011,189.96
15/06/2011,185.98
16/06/2011,183.65
17/06/2011,186.37
20/06/2011,187.72
21/06/2011,194.23
22/06/2011,191.63
23/06/2011,194.16
24/06/2011,192.55
27/06/2011,201.25
28/06/2011,202.35
29/06/2011,204.18
30/06/2011,204.49
01/07/2011,209.49
05/07/2011,213.19
06/07/2011,214.19
07/07/2011,216.74
08/07/2011,218.28
11/07/2011,212.55
12/07/2011,211.23
13/07/2011,213.5
14/07/2011,210.38
15/07/2011,212.87
18/07/2011,211.53
19/07/2011,218.06
20/07/2011,215.55
21/07/2011,213.21
22/07/2011,216.52
25/07/2011,213.49
26/07/2011,214.18
27/07/2011,222.52
28/07/2011,223.9
29/07/2011,222.52
01/08/2011,221.32
02/08/2011,209.64
03/08/2011,209.96
04/08/2011,201.48
05/08/2011,202.7
08/08/2011,193.7
09/08/2011,205.09
10/08/2011,194.13
11/08/2011,198.36
12/08/2011,202.3
15/08/2011,202.95
16/08/2011,197.68
17/08/2011,195.93
18/08/2011,182.52
19/08/2011,178.93
22/08/2011,177.54
23/08/2011,193.55
24/08/2011,193.73
25/08/2011,192.03
26/08/2011,199.27
29/08/2011,206.53
30/08/2011,210.92
31/08/2011,215.23
01/09/2011,212.54
02/09/2011,210.0
06/09/2011,216.18
07/09/2011,219.9
08/09/2011,217.26
09/09/2011,211.39
12/09/2011,216.56
13/09/2011,219.53
14/09/2011,222.57
15/09/2011,226.78
16/09/2011,239.3
19/09/2011,241.69
20/09/2011,233.25
21/09/2011,231.87
22/09/2011,223.23
23/09/2011,223.61
26/09/2011,229.85
27/09/2011,224.21
28/09/2011,229.71
29/09/2011,222.44
30/09/2011,216.23
03/10/2011,211.98
04/10/2011,212.5
05/10/2011,219.5
06/10/2011,221.51
07/10/2011,224.74
10/10/2011,231.32
11/10/2011,235.48
12/10/2011,236.81
13/10/2011,236.15
14/10/2011,246.71
17/10/2011,242.33
18/10/2011,243.88
19/10/2011,231.53
20/10/2011,233.61
21/10/2011,234.78
24/10/2011,237.61
25/10/2011,227.15
26/10/2011,198.4
27/10/2011,206.78
28/10/2011,217.32
31/10/2011,213.51
01/11/2011,212.1
02/11/2011,215.62
03/11/2011,218.29
04/11/2011,216.48
07/11/2011,217.0
08/11/2011,217.99
09/11/2011,211.22
10/11/2011,210.79
11/11/2011,217.39
14/11/2011,218.93
15/11/2011,217.83
16/11/2011,211.99
17/11/2011,204.52
18/11/2011,197.14
21/11/2011,189.25
22/11/2011,192.34
23/11/2011,188.99
25/11/2011,182.4
28/11/2011,194.15
29/11/2011,188.39
30/11/2011,192.29
01/12/2011,197.13
02/12/2011,196.03
05/12/2011,196.24
06/12/2011,191.99
07/12/2011,195.32
08/12/2011,190.48
09/12/2011,193.03
12/12/2011,189.52
13/12/2011,180.51
14/12/2011,180.21
15/12/2011,181.26
16/12/2011,181.26
19/12/2011,179.33
20/12/2011,182.52
21/12/2011,174.35
22/12/2011,179.03
23/12/2011,177.28
27/12/2011,176.27
28/12/2011,173.89
29/12/2011,173.86
30/12/2011,173.1
03/01/2012,179.03
04/01/2012,177.51
05/01/2012,177.61
06/01/2012,182.61
09/01/2012,178.56
10/01/2012,179.34
11/01/2012,178.9
12/01/2012,175.93
13/01/2012,178.42
17/01/2012,181.66
18/01/2012,189.44
19/01/2012,194.45
20/01/2012,190.93
23/01/2012,186.09
24/01/2012,187.0
25/01/2012,187.8
26/01/2012,193.32
27/01/2012,195.37
30/01/2012,192.15
31/01/2012,194.44
